id,tag,connected,meaning,conflicting
0,noun,,іменник,0
1,anim,noun,істота,1
2,fname,noun,ім'я,1
3,lname,noun,прізвище,1
4,pname,noun,по батькові,1
5,inanim,noun,неістота,1
6,unanim,noun,невизначена категорія істота/неістота (бактерія),1
7,prop,noun,власна назва,0
8,geo,noun,топонім,0
9,verb,,дієслово,0
10,imperf,verb,недоконаний вид,1
11,perf,verb,доконаний вид,1
12,rev,verb,зворотна форма (дієслова),1
13,inf,verb,інфінітив,0
14,futr,verb,майбутній час,0
15,past,verb,минулий час,0
16,pres,verb,теперішній час,0
17,impr,verb,наказова форма,0
18,impers,verb,безособова форма,0
19,1,verb,1-а особа,0
20,2,verb,2-а особа,0
21,3,verb,3-а особа,0
22,adj,,прикметник,0
23,compb,adj,базова форма,0
24,compc,adj,порівняльна форма,0
25,comps,adj,найвища форма,0
26,short,adj,короткі форми прикметників,0
27,adjp,adj,дієприкметник,0
28,actv,adjp,активний,0
29,pasv,adjp,пасивний,0
30,imperf,adjp,недоконаний вид,0
31,perf,adjp,доконаний вид,0
32,rinanim,v_zna,знахідний для неістот,0
33,ranim,v_zna,знахідний для істот,0
34,uncontr,adj,нестягнені,0
37,uncontr,adjp,нестягнені,0
38,adv,,прислівник,0
39,compb,adv,базова форма,0
40,compc,adv,порівняльна форма,0
41,comps,adv,найвища форма,0
42,advp,,дієприслівник,0
43,perf,advp,,1
44,imperf,advp,,1
45,prep,,прийменник,0
46,conj,,сполучник,0
47,subord,conj,підрядний,0
48,coord,conj,сурядний,0
49,part,,частка,0
50,intj,,вигук,0
51,numr,,числівник,0
52,noninfl,,невідмінювані частини,0
53,foreign,,запозичені слова невизначеної частини мови,0
54,onomat,,клас звуконаслідувальних слів,0
55,v_naz,,називний,0
56,v_rod,,родовий,0
57,v_dav,,давальний,0
58,v_zna,,знахідний,0
59,v_oru,,орудний,0
60,v_mis,,місцевий,0
61,v_kly,,кличний,0
62,nv,,не відмінюється,0
63,np,,без множини,0
64,ns,,без однини,0
65,p,,множина,0
66,s,,однина,0
67,m,,чоловічий,0
68,f,,жіночий,0
69,n,,середній,0
70,abbr,,абревіатура,0
71,bad,,покруч,0
72,subst,,просторічна форма,0
73,rare,,рідковживане/діалектичне/застаріле,0
74,coll,,розмовне слово/розмовна форма,0
75,slang,,сленг,0
76,alt,,альтернативне написання,0
77,onomatop,,клас звуконаслідувальних слів,0
78,xp[1-9],,"омоніми, що відрізняються парадигмою відмінювання ",0
79,v-u,,паралельні форми на в-/у-,0
80,&adjp,,"слова, що є дієприкметниками",0
81,&&adjp,,"слова, що є і прикметниками і дієприкметниками",0
82,&pron,,"наразі всі займенники мають теги відповідних частин мови, але всі мають додатковий тег &pron",1
83,&numr,,"слова, що є порядковими числівниками",0
84,&&numr,,"слова, що є і іменниками і кількісними числівниками",0
85,&insert,,може бути вставним словом,0
86,&predic,,може бути предикативом,0
87,pers,,особовий,0
88,refl,,зворотний,0
89,pos,,присвійний,0
90,dem,,вказівний,0
91,def,,означальний,0
92,int,,питальний,0
93,rel,,відносний,0
94,neg,,заперечний,0
95,ind,,неозначений,0
96,gen,,узагальнювальний,0
97,emph,,підсилювальний,0
